City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,les avirons,-21.2418,55.3394,26.05,61,0,12.86,RE,1708230411
339,dudinka,69.4058,86.1778,-24.62,90,100,4.92,RU,1708230411
340,porto velho,-8.7619,-63.9039,26.03,94,40,1.03,BR,1708230412
341,belmonte,-15.8631,-38.8828,25.23,92,100,4.75,BR,1708230412
342,kilindoni,-7.9139,39.6668,28.31,82,100,4.54,TZ,1708230412
343,pikeville,37.4793,-82.5188,-4.37,91,0,0.0,US,1708230138
344,ungsang-nodongjagu,42.3578,130.4622,4.67,72,6,1.63,KP,1708230414
345,camapua,-19.5314,-54.0439,22.31,94,78,0.51,BR,1708230414
346,lokomotivnyy,53.0118,60.5684,-18.8,82,98,3.01,RU,1708230415
347,paragominas,-2.9667,-47.4833,23.18,99,91,1.15,BR,1708230415
348,heber city,40.5069,-111.4132,1.58,81,90,1.52,US,1708230415
349,ha'il,27.5219,41.6907,4.01,65,0,2.06,SA,1708230416
350,poso,-1.3959,120.7524,29.68,56,95,1.2,ID,1708230416
351,antsiranana,-12.2787,49.2917,27.42,83,40,3.09,MG,1708230417
352,leava,-14.3,-178.1667,28.64,83,92,8.1,WF,1708230417
353,vangaindrano,-23.35,47.6,24.35,91,100,4.59,MG,1708230418
354,kuroishi,40.6389,140.5922,9.87,75,0,1.54,JP,1708230418
355,usogorsk,63.4106,48.6872,-9.07,93,100,6.31,RU,1708230418
356,juan griego,11.0817,-63.9655,25.07,94,5,0.0,VE,1708230419
357,puerto madryn,-42.7692,-65.0385,17.74,62,0,5.5,AR,1708230239
358,virginia,37.5481,-77.4467,-0.4,67,0,0.0,US,1708230420
359,sao jose da coroa grande,-8.8978,-35.1478,26.64,85,26,2.52,BR,1708230420
360,atambua,-9.1061,124.8925,28.72,68,96,2.53,ID,1708230421
361,holywood,54.6386,-5.8247,10.68,97,100,3.6,GB,1708230422
